stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
de:09362:14108:2,,Daimlerstraße,,49.00784168340863,12.12329865125305,,,0,,,0
de:09362:14108:1,,Daimlerstraße,,49.00788577808072,12.12332990434765,,,0,,,0
de:09362:12009:0:1,,Danziger Freiheit,,49.0413175,12.1302544,,,0,,,0
de:09362:12009:0:2,,Danziger Freiheit,,49.04147878854488,12.13206992692141,,,0,,,0
de:09362:14002:0:0,,Dechbetten,,49.010795,12.058615,,,0,,,0
de:09362:14002:0:5,,Dechbetten,,49.01097361984245,12.05948246669597,,,0,,,0
de:09362:14004:0:1,,Dechbetten-TELIS FINANZ,,49.00972544986669,12.05866959552278,,,0,,,0
de:09362:14004:0:2,,Dechbetten-TELIS FINANZ,,49.0093475,12.0578613,,,0,,,0
de:09362:15005:0:1,,Deiningerstraße,,49.01480350596791,12.04705229174247,,,0,,,0
de:09362:15005:0:0,,Deiningerstraße,,49.01632574728735,12.04771568314305,,,0,,,0
de:09362:12:0:1,,Dechbettener Straße,,49.01353146329101,12.07713360826152,,,0,,,0
de:09362:12:0:2,,Dechbettener Straße,,49.0134455,12.0771547,,,0,,,0
de:09362:11040:0:3,,Domplatz,,49.01998720416626,12.09729567743141,,,0,,,0
de:09362:11040:0:4,,Domplatz,,49.01936345951862,12.09739544646248,,,0,,,0
de:09362:12015:0:2,,Donaustaufer Straße,,49.0301397,12.1141983,,,0,,,0
de:09362:12015:0:3,,Donaustaufer Straße,,49.0288541,12.1139491,,,0,,,0
de:09362:12015:0:4,,Donaustaufer Straße,,49.0292486,12.1151944,,,0,,,0
de:09362:15013:0:1,,Dornierstraße,,49.0215111,12.0630302,,,0,,,0
de:09362:15013:0:2,,Dornierstraße,,49.021448,12.0630847,,,0,,,0
de:09362:16028:0:1,,Dornfelder Weg,,49.0321455,12.0511463,,,0,,,0
de:09362:16028:0:2,,Dornfelder Weg,,49.0320555,12.0511188,,,0,,,0
de:09362:11030:1:1,,Dachauplatz (A-1),,49.01674286910191,12.10185940267696,,,0,,,0
de:09362:11030:2:3,,Dachauplatz (C-3),,49.0178055,12.1017972,,,0,,,0
de:09362:11030:3:4,,Dachauplatz (D-4),,49.0175988,12.1016191,,,0,,,0
de:09362:11030:4:5,,Dachauplatz (E-5),,49.0167536,12.1016175,,,0,,,0
de:09362:11030:4:6,,Dachauplatz (F-6),,49.0166544,12.1016991,,,0,,,0
de:09362:16036:0:0,,Dreifaltigkeitsberg,,49.0318855,12.0928552,,,0,,,0
de:09362:16036:0:4,,Dreifaltigkeitsberg,,49.0333069,12.091805,,,0,,,0
de:09362:16036:0:5,,Dreifaltigkeitsberg,,49.0333608,12.0918186,,,0,,,0
