route_id,service_id,trip_id,shape_id,trip_headsign,trip_short_name,direction_id,block_id
5,00301 ohne Eisl.,[@1.0.241557723@][1749187136313]/297__00301_ohne_Eisl.,shape_280,Jahnstadion Regensburg,,1,00301 ohne Eisl.
5,00504 SF/WF,[@1.0.241557723@][1749187136313]/297__00504_SF/WF,shape_280,Jahnstadion Regensburg,,1,00504 SF/WF
5,00301 Ferien,[@1.0.241557723@][1749187136313]/297__00301_Ferien,shape_280,Jahnstadion Regensburg,,1,00301 Ferien
5,00301 Ferien mit Eisl.,[@1.0.241557723@][1749187136313]/297__00301_Ferien_mit_Eisl.,shape_280,Jahnstadion Regensburg,,1,00301 Ferien mit Eisl.
5,00301 mit Eisl.,[@1.0.241557723@][1749187136313]/298__00301_mit_Eisl.,shape_280,Jahnstadion Regensburg,,1,00301 mit Eisl.
5,00301 ohne Eisl.,[@1.0.241557723@][1749187136313]/298__00301_ohne_Eisl.,shape_280,Jahnstadion Regensburg,,1,00301 ohne Eisl.
5,00301 Ferien,[@1.0.241557723@][1749187136313]/298__00301_Ferien,shape_280,Jahnstadion Regensburg,,1,00301 Ferien
5,00504 SF/WF,[@1.0.241557723@][1749187136313]/298__00504_SF/WF,shape_280,Jahnstadion Regensburg,,1,00504 SF/WF
5,00301 Ferien mit Eisl.,[@1.0.241557723@][1749187136313]/298__00301_Ferien_mit_Eisl.,shape_280,Jahnstadion Regensburg,,1,00301 Ferien mit Eisl.
5,00301 Ferien mit Eisl.,[@1.0.241557723@][1749187136313]/299__00301_Ferien_mit_Eisl.,shape_280,Jahnstadion Regensburg,,1,00301 Ferien mit Eisl.
5,00301 mit Eisl.,[@1.0.241557723@][1749187136313]/299__00301_mit_Eisl.,shape_280,Jahnstadion Regensburg,,1,00301 mit Eisl.
5,00301 ohne Eisl.,[@1.0.241557723@][1749187136313]/299__00301_ohne_Eisl.,shape_280,Jahnstadion Regensburg,,1,00301 ohne Eisl.
5,00301 Ferien,[@1.0.241557723@][1749187136313]/299__00301_Ferien,shape_280,Jahnstadion Regensburg,,1,00301 Ferien
5,00504 SF/WF,[@1.0.241557723@][1749187136313]/299__00504_SF/WF,shape_280,Jahnstadion Regensburg,,1,00504 SF/WF
5,07803 SF/WF,[@1.0.241557723@][1749187136313]/3__07803_SF/WF,shape_276,Weichs/DEZ,,0,07803 SF/WF
5,702 SA,[@1.0.241557723@][1749187136313]/30__702_SA,shape_276,Weichs/DEZ,,0,702 SA
5,702 HA,[@1.0.241557723@][1749187136313]/30__702_HA,shape_276,Weichs/DEZ,,0,702 HA
5,702 SIL,[@1.0.241557723@][1749187136313]/30__702_SIL,shape_276,Weichs/DEZ,,0,702 SIL
5,702 SA bis 13.09.24,[@1.0.241557723@][1749187136313]/30__702_SA_bis_13.09.24,shape_276,Weichs/DEZ,,0,702 SA bis 13.09.24
5,00502 SF/WF,[@1.0.241557723@][1749187136313]/300__00502_SF/WF,shape_280,Jahnstadion Regensburg,,1,00502 SF/WF
5,00502 SF/WF,[@1.0.241557723@][1749187136313]/301__00502_SF/WF,shape_280,Jahnstadion Regensburg,,1,00502 SF/WF
5,00502 SF/WF,[@1.0.241557723@][1749187136313]/302__00502_SF/WF,shape_280,Jahnstadion Regensburg,,1,00502 SF/WF
5,07803 SF/WF,[@1.0.241557723@][1749187136313]/303__07803_SF/WF,shape_280,Jahnstadion Regensburg,,1,07803 SF/WF
5,00505,[@1.0.241557723@][1749187136313]/303__00505,shape_280,Jahnstadion Regensburg,,1,00505
5,00505 Ferien,[@1.0.241557723@][1749187136313]/303__00505_Ferien,shape_280,Jahnstadion Regensburg,,1,00505 Ferien
5,00504 SF/WF,[@1.0.241557723@][1749187136313]/304__00504_SF/WF,shape_280,Jahnstadion Regensburg,,1,00504 SF/WF
5,00505 SF/WF NEU,[@1.0.241557723@][1749187136313]/305__00505_SF/WF_NEU,shape_280,Jahnstadion Regensburg,,1,00505 SF/WF NEU
5,00505 SF/WF,[@1.0.241557723@][1749187136313]/305__00505_SF/WF,shape_280,Jahnstadion Regensburg,,1,00505 SF/WF
5,03914,[@1.0.241557723@][1749187136313]/305__03914,shape_280,Jahnstadion Regensburg,,1,03914
5,07803 SF/WF,[@1.0.241557723@][1749187136313]/306__07803_SF/WF,shape_280,Jahnstadion Regensburg,,1,07803 SF/WF
5,7055006,[@1.0.241557723@][1749187136313]/307__7055006,shape_87,Jahnstadion Regensburg,,1,7055006
5,7055006[2025-9-16],[@1.0.241557723@][1749187136313]/307__7055006[2025-9-16],shape_87,Jahnstadion Regensburg,,1,7055006[2025-9-16]
5,1810 SO,[@1.0.241557723@][1749187136313]/308__1810_SO,shape_282,,,1,1810 SO
5,509 SO,[@1.0.241557723@][1749187136313]/309__509_SO,shape_282,,,1,509 SO
5,522 SIL,[@1.0.241557723@][1749187136313]/31__522_SIL,shape_276,Weichs/DEZ,,0,522 SIL
5,522 SA,[@1.0.241557723@][1749187136313]/31__522_SA,shape_276,Weichs/DEZ,,0,522 SA
5,522 SA bis 13.09.25,[@1.0.241557723@][1749187136313]/31__522_SA_bis_13.09.25,shape_276,Weichs/DEZ,,0,522 SA bis 13.09.25
5,702 HA,[@1.0.241557723@][1749187136313]/31__702_HA,shape_276,Weichs/DEZ,,0,702 HA
5,522 SA mit Eisl.,[@1.0.241557723@][1749187136313]/31__522_SA_mit_Eisl.,shape_276,Weichs/DEZ,,0,522 SA mit Eisl.
5,506 SO,[@1.0.241557723@][1749187136313]/310__506_SO,shape_282,,,1,506 SO
5,506 SO[2025-8-3],[@1.0.241557723@][1749187136313]/310__506_SO[2025-8-3],shape_282,,,1,506 SO[2025-8-3]
5,503 SA,[@1.0.241557723@][1749187136313]/311__503_SA,shape_282,,,1,503 SA
5,503 SIL,[@1.0.241557723@][1749187136313]/311__503_SIL,shape_282,,,1,503 SIL
5,503 SIL,[@1.0.241557723@][1749187136313]/312__503_SIL,shape_282,,,1,503 SIL
5,503 SA,[@1.0.241557723@][1749187136313]/312__503_SA,shape_282,,,1,503 SA
5,7066603 SA bis 13.09.25,[@1.0.241557723@][1749187136313]/313__7066603_SA_bis_13.09.25,shape_81,,,1,7066603 SA bis 13.09.25
5,7066603 SA,[@1.0.241557723@][1749187136313]/313__7066603_SA,shape_81,,,1,7066603 SA
5,7066603 SIL,[@1.0.241557723@][1749187136313]/313__7066603_SIL,shape_81,,,1,7066603 SIL
5,522 SA,[@1.0.241557723@][1749187136313]/314__522_SA,shape_81,,,1,522 SA
5,522 SA mit Eisl.,[@1.0.241557723@][1749187136313]/314__522_SA_mit_Eisl.,shape_81,,,1,522 SA mit Eisl.
